행정기관,구분,행정구역명,선거구코드,행정기관코드,선거인수,투표수,새누리당,더불어민주당,국민의당,정의당,기독자유당,민주당,코리아,일제·위안부·인권정당,개혁국민신당,고용복지연금선진화연대,공화당,불교당,기독당,노동당,녹색당,민중연합당,복지국가당,친반통일당,통일한국당,한국국민당,한나라당,계,무효투표수,기권수
경기도  ,도,,,4100000000,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 수원시 ,시군구,수원시,,4111000000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
경기도 수원시 장안구 ,행정구,수원시장안구,,4111100000,202743,121491,37972,33416,31983,8925,2637,615,98,113,48,36,40,88,580,282,813,714,74,13,116,43,233,118839,2652,81252
경기도 수원시 장안구 파장동,읍면동,파장동,2101,4111156000,20468,11418,3669,3112,2982,712,271,71,10,9,4,6,4,8,71,18,74,79,7,0,8,3,22,11140,278,9050
경기도 수원시 장안구 율천동,읍면동,율천동,2102,4111156600,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
경기도 수원시 장안구 정자1동,읍면동,정자1동,2101,4111157100,26104,15860,4658,4546,4255,1212,360,66,7,16,4,5,3,10,81,41,106,102,5,2,19,3,33,15534,326,10244
경기도 수원시 장안구 정자2동,읍면동,정자2동,2101,4111157200,24731,14461,4538,3892,3814,1043,419,63,8,11,3,6,3,10,68,23,78,94,6,2,5,4,27,14117,344,10270
경기도 수원시 장안구 정자3동,읍면동,정자3동,2101,4111157300,31627,21489,5055,6532,6463,2140,403,84,13,12,7,2,6,8,87,59,170,134,9,1,9,7,26,21227,262,10138
경기도 수원시 장안구 영화동,읍면동,영화동,2101,4111158000,18299,8559,3453,1942,2022,479,172,50,6,9,3,2,1,8,29,19,46,38,7,0,4,2,19,8311,248,9740
경기도 수원시 장안구 송죽동,읍면동,송죽동,2101,4111159100,15041,8047,2496,2308,2041,505,202,29,3,7,6,1,4,6,52,17,54,49,7,1,18,4,9,7819,228,6994
경기도 수원시 장안구 조원1동,읍면동,조원1동,2101,4111159700,24929,13709,4696,3542,3429,884,383,74,13,16,6,2,7,11,73,24,80,64,8,3,23,7,35,13380,329,11220
경기도 수원시 장안구 조원2동,읍면동,조원2동,2101,4111159800,15781,10909,3612,2848,3009,845,140,44,5,1,2,3,2,6,32,25,76,62,6,1,13,7,15,10754,155,4872
경기도 수원시 장안구 연무동,읍면동,연무동,2101,4111160000,16606,8326,3387,1914,1856,423,186,51,10,7,4,3,3,7,48,15,51,45,4,2,11,5,26,8058,268,8280
경기도 수원시 권선구 ,행정구,수원시권선구,,4111300000,394405,231677,66659,69250,61021,17155,5128,1367,163,215,75,93,53,187,1145,572,1486,1906,163,18,173,65,382,227276,4401,162728
경기도 수원시 권선구 세류1동,읍면동,세류1동,2105,4111352000,8574,5065,1693,1395,1228,294,130,37,4,6,1,2,3,4,17,9,25,37,5,0,6,0,11,4907,158,3509
경기도 수원시 권선구 세류2동,읍면동,세류2동,2105,4111353000,21913,10037,3866,2604,2198,426,293,87,7,10,4,6,3,11,54,25,37,61,5,0,23,2,36,9758,279,11876
경기도 수원시 권선구 세류3동,읍면동,세류3동,2105,4111354000,19503,9092,3470,2351,2097,414,209,69,8,7,2,4,1,17,47,17,39,36,7,1,15,3,23,8837,255,10411
