,,읍면동명,시군구,투표구명,선거인수,투표수,더불어민주당 문재인,자유한국당 홍준표,국민의당 안철수,바른정당 유승민,정의당 심상정,새누리당 조원진,경제애국당 오영국,국민대통합당 장성민,늘푸른한국당 이재오,민중연합당 김선동,한국국민당 이경희,홍익당 윤홍식,무소속 김민찬,계,무효투표수,기권수
경기도,합계,,경기도,,"10,262,309","7,916,009","3,319,812","1,637,345","1,807,308","540,023","546,373","10,778","1,302","5,058","1,858","6,139","2,213","2,883","6,553","7,887,645","28,364","2,346,300"
경기도,수원시장안구,합계,경기도수원시장안구,,"239,609","190,917","81,392","37,143","43,344","13,774","13,660",245,33,136,43,180,43,69,149,"190,211",706,"48,692"
경기도,수원시장안구,파장동,경기도수원시장안구파장동,합계,"19,520","14,494","5,848","3,229","3,469",905,933,20,0,12,0,21,3,6,8,"14,454",40,"5,026"
경기도,수원시장안구,율천동,경기도수원시장안구율천동,합계,"32,202","26,533","11,935","4,177","5,859","2,289","2,068",29,3,12,3,20,3,8,15,"26,421",112,"5,669"
경기도,수원시장안구,정자1동,경기도수원시장안구정자1동,합계,"24,602","19,493","8,531","3,710","4,388","1,426","1,321",15,1,15,1,16,5,4,11,"19,444",49,"5,109"
경기도,수원시장안구,정자2동,경기도수원시장안구정자2동,합계,"22,810","17,436","7,292","3,680","4,021","1,118","1,174",30,4,17,3,26,10,11,6,"17,392",44,"5,374"
경기도,수원시장안구,정자3동,경기도수원시장안구정자3동,합계,"30,106","25,739","12,499","3,795","5,407","2,008","1,887",26,0,12,4,17,2,10,21,"25,688",51,"4,367"
경기도,수원시장안구,영화동,경기도수원시장안구영화동,합계,"17,541","11,935","4,296","3,229","2,867",666,766,12,2,6,6,10,2,10,10,"11,882",53,"5,606"
경기도,수원시장안구,송죽동,경기도수원시장안구송죽동,합계,"14,820","11,042","4,513","2,298","2,643",710,778,28,3,12,6,5,5,0,8,"11,009",33,"3,778"
경기도,수원시장안구,조원1동,경기도수원시장안구조원1동,합계,"23,500","17,344","6,693","4,122","4,023","1,093","1,256",19,7,20,8,9,4,6,17,"17,277",67,"6,156"
경기도,수원시장안구,조원2동,경기도수원시장안구조원2동,합계,"15,317","12,989","5,291","2,684","2,991","1,038",928,13,0,4,2,8,1,2,2,"12,964",25,"2,328"
경기도,수원시장안구,연무동,경기도수원시장안구연무동,합계,"15,525","10,632","3,600","3,091","2,546",584,699,19,2,13,2,11,4,6,11,"10,588",44,"4,893"
경기도,수원시권선구,합계,경기도수원시권선구,,"290,343","222,078","95,263","42,801","51,061","15,482","15,573",273,43,175,60,195,69,77,206,"221,278",800,"68,265"
