행정기관코드,행정기관,비교용,구분,행정구역명,비교용,선거구코드,선거인수,투표수,"더불어민주당 이재명","자유한국당 남경필",바른미래당 김영환,"정의당 이홍우","민중당 홍성규",계,무효투표수,기권수
4100000000,경기도  ,경기도,도,,경기도,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4111000000,경기도 수원시 ,경기도수원시,시군구,수원시,경기도수원시,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4111100000,경기도 수원시 장안구 ,경기도수원시장안구,행정구,수원시장안구,경기도수원시장안구,,202140,121951,64965,45405,5638,3050,768,119826,2125,80189
4111156000,경기도 수원시 장안구 파장동,경기도수원시장안구파장동,읍면동,파장동,경기도수원시장안구파장동,2101,19926,11071,5876,4242,480,232,53,10883,188,8855
4111156600,경기도 수원시 장안구 율천동,경기도수원시장안구율천동,읍면동,율천동,경기도수원시장안구율천동,2102,34766,21186,12036,6848,1081,676,134,20775,411,13580
4111157100,경기도 수원시 장안구 정자1동,경기도수원시장안구정자1동,읍면동,정자1동,경기도수원시장안구정자1동,2101,25369,15212,8335,5447,706,422,92,15002,210,10157
4111157200,경기도 수원시 장안구 정자2동,경기도수원시장안구정자2동,읍면동,정자2동,경기도수원시장안구정자2동,2101,23871,13512,7059,5224,562,341,99,13285,227,10359
4111157300,경기도 수원시 장안구 정자3동,경기도수원시장안구정자3동,읍면동,정자3동,경기도수원시장안구정자3동,2101,31116,21015,12188,6719,971,708,119,20705,310,10101
4111158000,경기도 수원시 장안구 영화동,경기도수원시장안구영화동,읍면동,영화동,경기도수원시장안구영화동,2101,18173,8543,4039,3764,362,166,55,8386,157,9630
4111159100,경기도 수원시 장안구 송죽동,경기도수원시장안구송죽동,읍면동,송죽동,경기도수원시장안구송죽동,2101,16210,8914,4807,3340,394,187,57,8785,129,7296
4111159700,경기도 수원시 장안구 조원1동,경기도수원시장안구조원1동,읍면동,조원1동,경기도수원시장안구조원1동,2101,23848,13008,6527,5206,629,297,87,12746,262,10840
4111159800,경기도 수원시 장안구 조원2동,경기도수원시장안구조원2동,읍면동,조원2동,경기도수원시장안구조원2동,2101,15335,10284,5102,4192,554,239,43,10130,154,5051
4111160000,경기도 수원시 장안구 연무동,경기도수원시장안구연무동,읍면동,연무동,경기도수원시장안구연무동,2101,16004,8057,3509,3761,376,137,62,7845,212,7947
4111300000,경기도 수원시 권선구 ,경기도수원시권선구,행정구,수원시권선구,경기도수원시권선구,,342897,197363,110066,69133,8656,4787,1473,194115,3248,145534
4111352000,경기도 수원시 권선구 세류1동,경기도수원시권선구세류1동,읍면동,세류1동,경기도수원시권선구세류1동,2105,9224,5261,2673,2126,228,116,28,5171,90,3963
4111353000,경기도 수원시 권선구 세류2동,경기도수원시권선구세류2동,읍면동,세류2동,경기도수원시권선구세류2동,2105,21662,9307,4717,3779,365,190,71,9122,185,12355
4111354000,경기도 수원시 권선구 세류3동,경기도수원시권선구세류3동,읍면동,세류3동,경기도수원시권선구세류3동,2105,19270,8824,4371,3717,339,166,67,8660,164,10446
4111355000,경기도 수원시 권선구 평동,경기도수원시권선구평동,읍면동,평동,경기도수원시권선구평동,2102,31511,16374,8716,6258,695,371,104,16144,230,15137
4111356000,경기도 수원시 권선구 서둔동,경기도수원시권선구서둔동,읍면동,서둔동,경기도수원시권선구서둔동,2102,31912,15605,8429,5832,580,361,127,15329,276,16307
4111365000,경기도 수원시 권선구 구운동,경기도수원시권선구구운동,읍면동,구운동,경기도수원시권선구구운동,2102,20955,11469,5951,4465,501,272,70,11259,210,9486
4111366200,경기도 수원시 권선구 금곡동,경기도수원시권선구금곡동,읍면동,금곡동,경기도수원시권선구금곡동,2102,32779,20265,11655,6666,978,441,255,19995,270,12514
4111366400,경기도 수원시 권선구 호매실동,경기도수원시권선구호매실동,읍면동,호매실동,경기도수원시권선구호매실동,2102,25877,14920,9179,4469,601,358,100,14707,213,10957
4111367000,경기도 수원시 권선구 권선1동,경기도수원시권선구권선1동,읍면동,권선1동,경기도수원시권선구권선1동,2105,20354,9969,5118,3965,443,221,66,9813,156,10385
4111368000,경기도 수원시 권선구 권선2동,경기도수원시권선구권선2동,읍면동,권선2동,경기도수원시권선구권선2동,2105,37310,23430,12662,8759,1032,548,119,23120,310,13880
4111369000,경기도 수원시 권선구 곡선동,경기도수원시권선구곡선동,읍면동,곡선동,경기도수원시권선구곡선동,2105,23213,11428,6570,3868,483,291,65,11277,151,11785
4111370000,경기도 수원시 권선구 입북동,경기도수원시권선구입북동,읍면동,입북동,경기도수원시권선구입북동,2102,12941,8124,4795,2530,399,211,91,8026,98,4817
4111500000,경기도 수원시 팔달구 ,경기도수원시팔달구,행정구,수원시팔달구,경기도수원시팔달구,,161673,88388,44464,36057,3707,1908,552,86688,1700,73285
4111565000,경기도 수원시 팔달구 매교동,경기도수원시팔달구매교동,읍면동,매교동,경기도수원시팔달구매교동,2103,7502,3300,1410,1583,156,66,17,3232,68,4202
4111566000,경기도 수원시 팔달구 매산동,경기도수원시팔달구매산동,읍면동,매산동,경기도수원시팔달구매산동,2103,10013,4934,2334,2165,199,100,30,4828,106,5079
4111567000,경기도 수원시 팔달구 고등동,경기도수원시팔달구고등동,읍면동,고등동,경기도수원시팔달구고등동,2103,8967,3878,1734,1804,147,76,23,3784,94,5089
4111568000,경기도 수원시 팔달구 화서1동,경기도수원시팔달구화서1동,읍면동,화서1동,경기도수원시팔달구화서1동,2103,19811,10430,5160,4408,423,207,58,10256,174,9381
4111569000,경기도 수원시 팔달구 화서2동,경기도수원시팔달구화서2동,읍면동,화서2동,경기도수원시팔달구화서2동,2103,21206,13829,7254,5325,581,370,76,13606,223,7377
4111570000,경기도 수원시 팔달구 지동,경기도수원시팔달구지동,읍면동,지동,경기도수원시팔달구지동,2103,11829,5692,2479,2695,248,84,39,5545,147,6137
4111571000,경기도 수원시 팔달구 우만1동,경기도수원시팔달구우만1동,읍면동,우만1동,경기도수원시팔달구우만1동,2103,18070,9028,4563,3644,401,158,73,8839,189,9042
4111572000,경기도 수원시 팔달구 우만2동,경기도수원시팔달구우만2동,읍면동,우만2동,경기도수원시팔달구우만2동,2103,14088,8691,4472,3462,372,197,37,8540,151,5397
4111573000,경기도 수원시 팔달구 인계동,경기도수원시팔달구인계동,읍면동,인계동,경기도수원시팔달구인계동,2103,30876,14536,7373,5854,623,333,81,14264,272,16340
4111574000,경기도 수원시 팔달구 행궁동,경기도수원시팔달구행궁동,읍면동,행궁동,경기도수원시팔달구행궁동,2103,10048,4793,2046,2344,182,74,42,4688,105,5255
4111700000,경기도 수원시 영통구 ,경기도수원시영통구,행정구,수원시영통구,경기도수원시영통구,,273531,174692,98513,59730,8134,4762,873,172012,2680,98839
4111751000,경기도 수원시 영통구 매탄1동,경기도수원시영통구매탄1동,읍면동,매탄1동,경기도수원시영통구매탄1동,2104,15487,9134,4702,3663,408,203,45,9021,113,6353
4111752000,경기도 수원시 영통구 매탄2동,경기도수원시영통구매탄2동,읍면동,매탄2동,경기도수원시영통구매탄2동,2104,12488,6998,3522,2830,312,195,35,6894,104,5490
4111753000,경기도 수원시 영통구 매탄3동,경기도수원시영통구매탄3동,읍면동,매탄3동,경기도수원시영통구매탄3동,2104,27862,16831,9272,5965,759,483,102,16581,250,11031
4111754000,경기도 수원시 영통구 매탄4동,경기도수원시영통구매탄4동,읍면동,매탄4동,경기도수원시영통구매탄4동,2104,18091,9997,5407,3672,409,280,67,9835,162,8094
4111755000,경기도 수원시 영통구 원천동,경기도수원시영통구원천동,읍면동,원천동,경기도수원시영통구원천동,2104,18652,10031,5707,3396,459,268,36,9866,165,8621
4111757000,경기도 수원시 영통구 영통1동,경기도수원시영통구영통1동,읍면동,영통1동,경기도수원시영통구영통1동,2104,25894,16821,9846,5336,804,509,82,16577,244,9073
4111758000,경기도 수원시 영통구 영통2동,경기도수원시영통구영통2동,읍면동,영통2동,경기도수원시영통구영통2동,2105,21913,14105,8894,3869,650,393,69,13875,230,7808
4111758500,경기도 수원시 영통구 영통3동,경기도수원시영통구영통3동,읍면동,영통3동,경기도수원시영통구영통3동,2105,23842,14579,8008,5110,752,404,67,14341,238,9263
4111759300,경기도 수원시 영통구 망포1동,경기도수원시영통구망포1동,읍면동,망포1동,경기도수원시영통구망포1동,2105,19573,12275,7060,4085,602,296,63,12106,169,7298
4111759600,경기도 수원시 영통구 망포2동,경기도수원시영통구망포2동,읍면동,망포2동,경기도수원시영통구망포2동,2105,17630,11057,6360,3679,542,267,57,10905,152,6573
4111760000,경기도 수원시 영통구 광교1동,경기도수원시영통구광교1동,읍면동,광교1동,경기도수원시영통구광교1동,2104,36103,23499,12062,9213,1136,685,85,23181,318,12604
4111761000,경기도 수원시 영통구 광교2동,경기도수원시영통구광교2동,읍면동,광교2동,경기도수원시영통구광교2동,2104,18088,11417,6507,3914,529,291,41,11282,135,6671
4113000000,경기도 성남시 ,경기도성남시,시군구,성남시,경기도성남시,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4113100000,경기도 성남시 수정구 ,경기도성남시수정구,행정구,성남시수정구,경기도성남시수정구,2106,204053,115704,71400,34928,4592,1902,822,113644,2060,88349
