행정기관코드,행정기관,비교용,구분,행정구역명,비교용,선거구코드,선거인수,투표수,더불어민주당,자유한국당,바른미래당,민주평화당,정의당,민중당,대한애국당,노동당,녹색당,우리미래,계,무효투표수,기권수
4100000000,경기도  ,경기도,도,,경기도,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4111000000,경기도 수원시 ,경기도수원시,시군구,수원시,경기도수원시,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4111100000,경기도 수원시 장안구 ,경기도수원시장안구,행정구,수원시장안구,경기도수원시장안구,,202140,121910,61433,30174,10228,947,15443,514,335,362,563,299,120298,1612,80230
4111156000,경기도 수원시 장안구 파장동,경기도수원시장안구파장동,읍면동,파장동,경기도수원시장안구파장동,2101,19926,11074,5513,2969,894,93,1281,38,40,32,50,18,10928,146,8852
4111156600,경기도 수원시 장안구 율천동,경기도수원시장안구율천동,읍면동,율천동,경기도수원시장안구율천동,2102,34766,21176,11165,4081,1891,112,3262,82,41,74,124,35,20867,309,13590
4111157100,경기도 수원시 장안구 정자1동,경기도수원시장안구정자1동,읍면동,정자1동,경기도수원시장안구정자1동,2101,25369,15225,7767,3482,1388,93,2082,56,37,52,60,33,15050,175,10144
4111157200,경기도 수원시 장안구 정자2동,경기도수원시장안구정자2동,읍면동,정자2동,경기도수원시장안구정자2동,2101,23871,13511,6857,3449,1044,92,1658,71,39,40,59,37,13346,165,10360
4111157300,경기도 수원시 장안구 정자3동,경기도수원시장안구정자3동,읍면동,정자3동,경기도수원시장안구정자3동,2101,31116,21014,10919,3808,1838,138,3826,70,41,57,95,43,20835,179,10102
4111158000,경기도 수원시 장안구 영화동,경기도수원시장안구영화동,읍면동,영화동,경기도수원시장안구영화동,2101,18173,8545,4028,2881,615,90,688,34,24,19,37,11,8427,118,9628
4111159100,경기도 수원시 장안구 송죽동,경기도수원시장안구송죽동,읍면동,송죽동,경기도수원시장안구송죽동,2101,16210,8916,4650,2204,724,75,994,30,35,21,32,23,8788,128,7294
4111159700,경기도 수원시 장안구 조원1동,경기도수원시장안구조원1동,읍면동,조원1동,경기도수원시장안구조원1동,2101,23848,13011,6270,3665,1106,111,1418,65,33,44,68,29,12809,202,10837
4111159800,경기도 수원시 장안구 조원2동,경기도수원시장안구조원2동,읍면동,조원2동,경기도수원시장안구조원2동,2101,15335,10283,4779,2752,1025,69,1416,45,20,19,40,21,10186,97,5052
4111160000,경기도 수원시 장안구 연무동,경기도수원시장안구연무동,읍면동,연무동,경기도수원시장안구연무동,2101,16004,8058,3512,2803,671,77,688,26,29,24,28,28,7886,172,7946
4111300000,경기도 수원시 권선구 ,경기도수원시권선구,행정구,수원시권선구,경기도수원시권선구,,342897,197286,105292,45360,15067,1178,23930,1331,480,659,902,541,194740,2546,145611
4111352000,경기도 수원시 권선구 세류1동,경기도수원시권선구세류1동,읍면동,세류1동,경기도수원시권선구세류1동,2105,9224,5256,2602,1482,436,27,563,11,18,17,15,18,5189,67,3968
4111353000,경기도 수원시 권선구 세류2동,경기도수원시권선구세류2동,읍면동,세류2동,경기도수원시권선구세류2동,2105,21662,9306,4834,2823,552,73,668,33,43,39,42,31,9138,168,12356
4111354000,경기도 수원시 권선구 세류3동,경기도수원시권선구세류3동,읍면동,세류3동,경기도수원시권선구세류3동,2105,19270,8824,4441,2754,615,58,653,25,32,33,39,32,8682,142,10446
4111355000,경기도 수원시 권선구 평동,경기도수원시권선구평동,읍면동,평동,경기도수원시권선구평동,2102,31511,16422,8557,4279,1193,107,1808,69,43,40,66,55,16217,205,15089
4111356000,경기도 수원시 권선구 서둔동,경기도수원시권선구서둔동,읍면동,서둔동,경기도수원시권선구서둔동,2102,31912,15600,8282,3991,1025,114,1672,73,57,66,58,58,15396,204,16312
4111365000,경기도 수원시 권선구 구운동,경기도수원시권선구구운동,읍면동,구운동,경기도수원시권선구구운동,2102,20955,11466,5798,3047,851,63,1369,45,31,40,40,33,11317,149,9489
4111366200,경기도 수원시 권선구 금곡동,경기도수원시권선구금곡동,읍면동,금곡동,경기도수원시권선구금곡동,2102,32779,20255,10622,4216,1760,80,2654,480,33,64,89,34,20032,223,12524
4111366400,경기도 수원시 권선구 호매실동,경기도수원시권선구호매실동,읍면동,호매실동,경기도수원시권선구호매실동,2102,25877,14922,8528,2783,1023,83,2081,118,27,44,60,35,14782,140,10955
4111367000,경기도 수원시 권선구 권선1동,경기도수원시권선구권선1동,읍면동,권선1동,경기도수원시권선구권선1동,2105,20354,9963,5145,2687,699,67,1054,30,20,35,57,36,9830,133,10391
4111368000,경기도 수원시 권선구 권선2동,경기도수원시권선구권선2동,읍면동,권선2동,경기도수원시권선구권선2동,2105,37310,23416,12311,5598,1863,130,2977,55,51,73,100,48,23206,210,13894
