행정기관코드,행정기관,비교용,구분,행정구역명,선거구코드,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
4100000000,경기도  ,경기도,도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4111000000,경기도 수원시 ,경기도수원시,시군구,수원시,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4111100000,경기도 수원시 장안구 ,경기도수원시장안구,행정구,수원시장안구,,197970,131562,3072,39540,44546,12642,891,1152,170,9417,547,7129,147,39,52,890,60,60,2185,54,39,129,354,15,64,186,304,334,1090,22,71,476,87,20,72,74,64,125994,5568,66408
4111156000,경기도 수원시 장안구 파장동,경기도수원시장안구파장동,읍면동,파장동,2101,20059,12876,302,3950,4296,1155,89,88,14,855,73,743,9,5,4,95,7,5,250,10,4,16,34,1,10,13,29,38,93,1,9,61,6,3,8,7,3,12286,590,7183
4111156600,경기도 수원시 장안구 율천동,경기도수원시장안구율천동,읍면동,율천동,2102,33374,22786,508,5971,7850,2557,114,161,21,2163,70,1244,21,7,2,136,6,8,360,11,4,24,44,4,8,70,43,64,210,2,9,73,4,8,12,7,10,21806,980,10588
4111157100,경기도 수원시 장안구 정자1동,경기도수원시장안구정자1동,읍면동,정자1동,2101,23242,15293,328,4542,5415,1475,79,129,12,1173,48,819,9,2,6,89,1,12,266,4,2,9,36,0,3,22,24,31,115,0,3,55,9,0,6,10,5,14739,554,7949
4111157200,경기도 수원시 장안구 정자2동,경기도수원시장안구정자2동,읍면동,정자2동,2101,23537,14904,316,4617,4930,1419,126,165,19,1055,62,703,14,4,7,102,9,6,286,9,6,17,38,2,6,23,42,29,114,2,9,52,7,2,4,11,10,14223,681,8633
4111157300,경기도 수원시 장안구 정자3동,경기도수원시장안구정자3동,읍면동,정자3동,2101,31415,22721,485,5493,8403,2840,82,196,20,2108,55,1421,20,4,7,91,6,6,271,5,5,15,60,1,2,21,41,47,204,2,10,57,10,1,7,6,9,22011,710,8694
4111158000,경기도 수원시 장안구 영화동,경기도수원시장안구영화동,읍면동,영화동,2101,17431,9672,196,3558,2992,678,109,83,14,520,54,385,14,5,3,91,7,8,190,4,4,8,22,1,9,19,29,29,63,4,3,35,9,1,10,5,7,9169,503,7759
4111159100,경기도 수원시 장안구 송죽동,경기도수원시장안구송죽동,읍면동,송죽동,2101,16092,9795,255,2938,3367,863,74,89,12,630,44,520,6,2,6,83,2,2,205,4,1,10,22,0,4,13,30,27,94,3,4,40,9,1,7,7,7,9381,414,6297
