선거구명,구시군명,읍면동명,선거인수,투표수,더불어민주당 김동연,국민의힘 김은혜,정의당 황순식,기본소득당 서태성,진보당 송영주,무소속 강용석,계,무효투표수,기권수,,
경기도,수원시장안구,수원시장안구,"199,204","106,092","53,333","49,817",627,153,259,869,"105,058","1,034","93,112",,
경기도,수원시장안구,파장동,"19,741","9,786","4,781","4,711",57,15,14,94,"9,672",114,"9,955",,
경기도,수원시장안구,정자1동,"22,734","12,059","6,134","5,630",47,11,36,102,"11,960",99,"10,675",,
경기도,수원시장안구,정자2동,"27,879","13,335","6,742","6,229",85,21,41,96,"13,214",121,"14,544",,
경기도,수원시장안구,정자3동,"31,439","18,027","10,469","7,116",115,20,39,153,"17,912",115,"13,412",,
경기도,수원시장안구,영화동,"17,707","7,577","3,229","4,125",42,10,22,48,"7,476",101,"10,130",,
경기도,수원시장안구,송죽동,"15,945","7,419","3,720","3,513",42,11,13,60,"7,359",60,"8,526",,
경기도,수원시장안구,조원1동,"23,273","10,921","5,173","5,464",68,14,15,93,"10,827",94,"12,352",,
경기도,수원시장안구,조원2동,"15,017","9,115","4,378","4,550",46,11,12,56,"9,053",62,"5,902",,
경기도,수원시장안구,연무동,"13,890","6,297","2,544","3,546",39,12,16,38,"6,195",102,"7,593",,
경기도,수원시권선구,수원시권선구,"352,407","173,856","88,562","80,304","1,090",312,406,"1,580","172,254","1,602","178,551",,
경기도,수원시권선구,세류1동,"8,800","4,524","2,133","2,276",24,8,5,42,"4,488",36,"4,276",,
경기도,수원시권선구,세류2동,"20,875","7,696","3,449","3,957",38,20,18,84,"7,566",130,"13,179",,
경기도,수원시권선구,세류3동,"16,357","6,609","2,908","3,516",44,13,18,47,"6,546",63,"9,748",,
경기도,수원시권선구,평동,"32,793","14,954","7,214","7,318",74,30,42,142,"14,820",134,"17,839",,
경기도,수원시권선구,서둔동,"31,769","12,840","6,153","6,241",84,36,38,120,"12,672",168,"18,929",,
경기도,수원시권선구,구운동,"20,118","9,644","4,665","4,728",49,15,15,89,"9,561",83,"10,474",,
경기도,수원시권선구,금곡동,"35,335","18,579","10,017","8,040",118,29,63,165,"18,432",147,"16,756",,
경기도,수원시권선구,호매실동,"33,551","15,592","8,989","6,249",95,21,38,121,"15,513",79,"17,959",,
경기도,수원시권선구,권선1동,"20,683","8,175","3,776","4,130",67,12,14,89,"8,088",87,"12,508",,
경기도,수원시권선구,권선2동,"36,331","19,131","9,212","9,471",105,17,13,164,"18,982",149,"17,200",,
경기도,수원시권선구,곡선동,"29,009","12,651","6,617","5,716",80,20,23,100,"12,556",95,"16,358",,
경기도,수원시권선구,입북동,"12,937","6,874","3,749","2,937",36,10,18,72,"6,822",52,"6,063",,
경기도,수원시권선구,율천동,"34,498","17,225","9,250","7,526",116,34,26,133,"17,085",140,"17,273",,
경기도,수원시팔달구,수원시팔달구,"164,086","79,283","37,937","38,931",488,169,176,724,"78,425",858,"84,803",,
경기도,수원시팔달구,행궁동,"9,424","4,085","1,680","2,264",22,11,12,42,"4,031",54,"5,339",,
경기도,수원시팔달구,매교동,"5,462","2,195",907,"1,230",14,6,2,14,"2,173",22,"3,267",,
경기도,수원시팔달구,매산동,"9,341","3,780","1,581","2,096",19,5,10,31,"3,742",38,"5,561",,
경기도,수원시팔달구,고등동,"17,038","7,824","3,799","3,818",48,18,19,61,"7,763",61,"9,214",,
경기도,수원시팔달구,화서1동,"18,894","8,629","4,106","4,271",49,18,19,79,"8,542",87,"10,265",,
경기도,수원시팔달구,화서2동,"20,330","11,464","6,002","5,186",62,10,24,101,"11,385",79,"8,866",,
경기도,수원시팔달구,지동,"9,575","4,362","1,785","2,434",19,13,12,32,"4,295",67,"5,213",,
경기도,수원시팔달구,우만1동,"17,434","7,668","3,541","3,821",66,25,21,64,"7,538",130,"9,766",,
경기도,수원시팔달구,우만2동,"14,074","7,478","3,647","3,615",43,15,9,71,"7,400",78,"6,596",,
경기도,수원시팔달구,인계동,"33,136","12,416","5,866","6,176",82,18,14,124,"12,280",136,"20,720",,
경기도,수원시영통구,수원시영통구,"296,856","160,556","81,109","75,184","1,142",212,223,"1,647","159,517","1,039","136,300",,
경기도,수원시영통구,매탄1동,"14,309","7,173","3,329","3,621",64,13,11,84,"7,122",51,"7,136",,
경기도,수원시영통구,매탄2동,"12,177","5,787","2,711","2,894",43,17,14,57,"5,736",51,"6,390",,
경기도,수원시영통구,매탄3동,"27,893","13,739","7,128","6,212",126,26,23,138,"13,653",86,"14,154",,
경기도,수원시영통구,매탄4동,"17,382","7,884","3,869","3,755",80,16,16,77,"7,813",71,"9,498",,
경기도,수원시영통구,원천동,"29,700","13,659","6,248","7,058",81,19,15,151,"13,572",87,"16,041",,
경기도,수원시영통구,광교1동,"39,605","21,903","10,779","10,649",136,19,21,226,"21,830",73,"17,702",,
경기도,수원시영통구,광교2동,"21,538","11,673","5,729","5,669",54,12,13,139,"11,616",57,"9,865",,
경기도,수원시영통구,영통1동,"25,579","13,704","7,366","6,020",93,13,20,107,"13,619",85,"11,875",,
경기도,수원시영통구,영통2동,"21,995","10,860","5,707","4,824",78,14,17,129,"10,769",91,"11,135",,
경기도,수원시영통구,영통3동,"24,882","12,573","6,457","5,764",107,12,14,132,"12,486",87,"12,309",,
경기도,수원시영통구,망포1동,"21,590","10,677","5,573","4,837",66,15,11,114,"10,616",61,"10,913",,
경기도,수원시영통구,망포2동,"20,747","11,453","6,241","4,998",64,13,9,93,"11,418",35,"9,294",,
경기도,성남시수정구,성남시수정구,"208,907","106,922","53,684","49,669",630,250,493,964,"105,690","1,232","101,985",,
경기도,성남시수정구,신흥1동,"11,584","4,366","2,326","1,867",30,10,37,35,"4,305",61,"7,218",,
경기도,성남시수정구,신흥2동,"14,835","7,818","3,631","3,994",46,9,20,67,"7,767",51,"7,017",,
