시도명,구시군명,읍면동명,구분,선거인수,투표수,더불어민주당,국민의힘,정의당,기본소득당,녹색당,진보당,계,무효투표수,기권수
경기도,수원시장안구,,,,,더불어민주당,국민의힘,정의당,기본소득당,녹색당,진보당,,,
경기도,수원시장안구,합계,,"199,204","106,076","48,342","51,040","4,325",258,250,630,"104,845","1,231","93,128"
경기도,수원시장안구,거소투표,,444,412,117,201,15,5,2,5,345,67,32
경기도,수원시장안구,관외사전투표,,"11,135","11,130","5,415","4,903",480,40,35,105,"10,978",152,5
경기도,수원시장안구,파장동,소계,"19,741","9,782","4,426","4,872",320,25,21,34,"9,698",84,"9,959"
경기도,수원시장안구,파장동,관내사전투표,"2,803","2,800","1,321","1,356",81,9,4,11,"2,782",18,3
경기도,수원시장안구,파장동,선거일투표,"16,938","6,982","3,105","3,516",239,16,17,23,"6,916",66,"9,956"
경기도,수원시장안구,정자1동,소계,"22,734","12,056","5,444","5,815",512,20,28,111,"11,930",126,"10,678"
경기도,수원시장안구,정자1동,관내사전투표,"3,526","3,525","1,632","1,680",121,7,8,40,"3,488",37,1
경기도,수원시장안구,정자1동,선거일투표,"19,208","8,531","3,812","4,135",391,13,20,71,"8,442",89,"10,677"
경기도,수원시장안구,정자2동,소계,"27,879","13,329","6,088","6,325",577,33,28,105,"13,156",173,"14,550"
경기도,수원시장안구,정자2동,관내사전투표,"3,195","3,195","1,446","1,571",103,9,6,29,"3,164",31,0
경기도,수원시장안구,정자2동,선거일투표,"24,684","10,134","4,642","4,754",474,24,22,76,"9,992",142,"14,550"
경기도,수원시장안구,정자3동,소계,"31,439","18,020","9,276","7,332","1,004",28,45,141,"17,826",194,"13,419"
경기도,수원시장안구,정자3동,관내사전투표,"4,899","4,899","2,649","1,906",255,8,9,40,"4,867",32,0
경기도,수원시장안구,정자3동,선거일투표,"26,540","13,121","6,627","5,426",749,20,36,101,"12,959",162,"13,419"
경기도,수원시장안구,영화동,소계,"17,707","7,570","3,060","4,187",193,19,11,24,"7,494",76,"10,137"
경기도,수원시장안구,영화동,관내사전투표,"2,593","2,592","1,060","1,433",63,4,2,10,"2,572",20,1
