행정기관코드,행정기관,구분,행정구역명,선거구코드,선거인수,투표수,더불어민주당 이재명,국민의힘 윤석열,정의당 심상정,기본소득당 오준호,국가혁명당  허경영,노동당 이백윤,새누리당 옥은호,신자유민주연합 김경재,우리공화당 조원진,진보당 김재연,통일한국당 이경희,한류연합당 김민찬,계,무효투표수,기권수
4100000000,경기도,도,,,11433288 ,8763727 ,4428151 ,3965341 ,205709 ,4151 ,63207 ,1919 ,1124 ,1990 ,5897 ,8768 ,1927 ,3192 ,8691376 ,72351 ,2669561 
4111000000,경기도 수원시 ,시군구,수원시,,1003834 ,777718 ,385312 ,356927 ,19897 ,437 ,5563 ,157 ,98 ,171 ,575 ,685 ,162 ,277 ,770261 ,7457 ,226116 
4111100000,경기도 수원시 장안구 ,행정구,수원시장안구,21011,234723 ,183882 ,91842 ,83470 ,4755 ,122 ,1320 ,27 ,27 ,38 ,170 ,188 ,46 ,68 ,182073 ,1809 ,50841 
4111156000,경기도 수원시 장안구 파장동,읍면동,파장동,2101,19438 ,14541 ,7257 ,6610 ,374 ,8 ,112 ,3 ,1 ,2 ,20 ,13 ,1 ,4 ,14405 ,136 ,4897 
4111156600,경기도 수원시 장안구 율천동,읍면동,율천동,2102,32061 ,25400 ,12734 ,11416 ,702 ,19 ,130 ,7 ,3 ,9 ,21 ,13 ,7 ,10 ,25071 ,329 ,6661 
4111157100,경기도 수원시 장안구 정자1동,읍면동,정자1동,2101,21770 ,16986 ,8594 ,7681 ,415 ,10 ,110 ,2 ,1 ,2 ,11 ,23 ,6 ,7 ,16862 ,124 ,4784 
4111157200,경기도 수원시 장안구 정자2동,읍면동,정자2동,2101,25440 ,18869 ,9329 ,8639 ,474 ,16 ,154 ,0 ,3 ,4 ,25 ,32 ,5 ,8 ,18689 ,180 ,6571 
4111157300,경기도 수원시 장안구 정자3동,읍면동,정자3동,2101,30237 ,24776 ,13461 ,10187 ,771 ,10 ,119 ,2 ,7 ,3 ,15 ,19 ,3 ,8 ,24605 ,171 ,5461 
4111158000,경기도 수원시 장안구 영화동,읍면동,영화동,2101,16587 ,11394 ,5377 ,5553 ,218 ,7 ,117 ,2 ,3 ,4 ,9 ,15 ,3 ,7 ,11315 ,79 ,5193 
4111159100,경기도 수원시 장안구 송죽동,읍면동,송죽동,2101,15320 ,11135 ,5645 ,5000 ,266 ,9 ,79 ,1 ,0 ,4 ,7 ,9 ,2 ,1 ,11023 ,112 ,4185 
4111159700,경기도 수원시 장안구 조원1동,읍면동,조원1동,2101,21846 ,15739 ,7759 ,7268 ,381 ,8 ,146 ,2 ,2 ,2 ,25 ,12 ,10 ,0 ,15615 ,124 ,6107 
4111159800,경기도 수원시 장안구 조원2동,읍면동,조원2동,2101,15062 ,12477 ,5765 ,6162 ,362 ,5 ,59 ,2 ,2 ,2 ,20 ,4 ,0 ,3 ,12386 ,91 ,2585 
4111160000,경기도 수원시 장안구 연무동,읍면동,연무동,2101,13248 ,9203 ,4080 ,4748 ,175 ,4 ,84 ,1 ,3 ,3 ,8 ,13 ,2 ,6 ,9127 ,76 ,4045 
4111300000,경기도 수원시 권선구 ,행정구,수원시권선구,21021,311536 ,235055 ,121028 ,103154 ,5754 ,121 ,1981 ,55 ,42 ,63 ,187 ,218 ,48 ,99 ,232750 ,2305 ,76481 
4111352000,경기도 수원시 권선구 세류1동,읍면동,세류1동,2105,8564 ,6657 ,3156 ,3187 ,177 ,3 ,48 ,2 ,3 ,4 ,8 ,8 ,0 ,1 ,6597 ,60 ,1907 
4111353000,경기도 수원시 권선구 세류2동,읍면동,세류2동,2105,19233 ,12248 ,6019 ,5626 ,279 ,9 ,151 ,2 ,3 ,7 ,16 ,14 ,2 ,4 ,12132 ,116 ,6985 
4111354000,경기도 수원시 권선구 세류3동,읍면동,세류3동,2105,15572 ,10405 ,5119 ,4820 ,218 ,11 ,110 ,0 ,1 ,0 ,12 ,9 ,1 ,4 ,10305 ,100 ,5167 
4111355000,경기도 수원시 권선구 평동,읍면동,평동,2102,31017 ,22629 ,11413 ,10149 ,563 ,10 ,221 ,5 ,2 ,4 ,20 ,15 ,3 ,8 ,22413 ,216 ,8388 
4111356000,경기도 수원시 권선구 서둔동,읍면동,서둔동,2102,28982 ,19526 ,10053 ,8520 ,473 ,10 ,217 ,8 ,3 ,5 ,22 ,20 ,9 ,7 ,19347 ,179 ,9456 
4111365000,경기도 수원시 권선구 구운동,읍면동,구운동,2102,19046 ,13965 ,7106 ,6232 ,295 ,6 ,134 ,4 ,8 ,5 ,16 ,12 ,2 ,5 ,13825 ,140 ,5081 
4111366200,경기도 수원시 권선구 금곡동,읍면동,금곡동,2102,34055 ,26533 ,14220 ,11230 ,641 ,14 ,137 ,4 ,1 ,6 ,23 ,30 ,0 ,12 ,26318 ,215 ,7522 
